filename,Bird-drop,Clean,Dusty,Electrical-damage,Physical-damage,Snow
IMG_20241003_090100_124_jpg.rf.710556d267fca3448f9cfcf16fc32596.jpg,0,1,0,0,0,0
Imgdirty_681_1_jpg.rf.f3c89351697872f42b7b6bf9e1589e28.jpg,1,0,0,0,0,0
Imgdirty_139_1_jpg.rf.87302ba3959fe91f6059d77928d3d87b.jpg,0,0,1,0,0,0
Imgclean_1092_0_jpg.rf.aa72a0280a94d46080a1cec657f1a24b.jpg,0,1,0,0,0,0
Dust-97-_jpg.rf.09737d76be1bdf40e32be294934dd4af.jpg,0,0,1,0,0,0
IMG_20241003_090053_469_jpg.rf.d4108bd717d4324c1b9079f730e4adb8.jpg,0,1,0,0,0,0
Physical_Damge_489_jpg.rf.74a798e22685f03d42c8b17d0c08d8a5.jpg,0,0,0,0,1,0
Physical_Damge_52_jpg.rf.1ff8d0ee57a753656e4a2299d59ca2e0.jpg,0,0,0,0,1,0
Physical_Damge_515_jpg.rf.d54d8f8dd94e85086cb789a5caf26436.jpg,0,0,0,0,1,0
Physical_Damge_290_jpg.rf.cb0003ca0066f8321d8cfb4e58a64618.jpg,0,0,0,0,1,0
Imgclean_1096_0_jpg.rf.baac91a06200cc2450885aaf2fb0c864.jpg,0,1,0,0,0,0
Physical_Damge_29_jpg.rf.3908bdc56d21f95ffebf142cf4402d60.jpg,0,0,0,0,1,0
Imgdirty_682_1_jpg.rf.294866201468ff58a15a467ffc06b924.jpg,0,0,1,0,0,0
Physical_Damge_237_jpg.rf.afd7c58011aeb48014a2adae6173d500.jpg,0,0,1,0,1,0
IMG_20241003_090219_433_jpg.rf.c32176c035d708a1af45bab8382c1944.jpg,0,1,0,0,0,0
IMG_20241003_090321_818_jpg.rf.f0ac2012d6892b44d62acf00df5c52b4.jpg,0,1,0,0,0,0
Imgdirty_131_1_jpg.rf.0677169b421a86b24f2d2d660d99a69b.jpg,1,0,0,0,0,0
Screenshot-2023-04-02-001348_png.rf.48f0bcde6c1a446f319bf90ed633249e.jpg,1,0,0,0,1,0
Imgdirty_701_1_jpg.rf.5b78cdd805b7849d923c42ab7d26fc98.jpg,1,0,0,0,0,0
Physical_Damge_60_jpg.rf.c0006e30c2ac6b0f90776144f707e085.jpg,0,0,0,0,1,0
Imgdirty_140_1_jpg.rf.90a928d6ce1d01b0947d714ef33a6f0a.jpg,0,0,1,0,0,0
solar_Wed_Jun_21_8__48__32_2017_L_0-329396907415_I_0-406792156863_jpg.rf.6988edcc9e2c46aa2155ccb62e4cd193.jpg,0,0,1,0,0,0
Physical_Damge_528_jpg.rf.e55e63ed7a1db327b4e17804977eeddf.jpg,0,0,0,0,1,0
Physical_Damge_35_jpg.rf.2978163127f84cd89eded47797e7f4ab.jpg,0,0,0,0,1,0
Physical_Damge_278_jpg.rf.e32ee5076b8aa136f86abbd8c8774f7a.jpg,0,0,0,0,1,0
Physical_Damge_487_jpg.rf.3252a640aa6e6eda7000f4a0fc515165.jpg,0,0,0,0,1,0
Imgclean_1099_0_jpg.rf.20301f15f971d9a2470cb53a458a9ac9.jpg,0,1,0,0,0,0
IMG_20241003_090257_115_jpg.rf.cce5b7f2c21db5d24529283601fa6bfb.jpg,0,1,0,0,0,0
Physical_Damge_483_jpg.rf.0a7c2dfdeca1dd634ceb8b4cfee6a258.jpg,0,0,0,0,1,0
Physical_Damge_401_jpg.rf.fb53f70b16cd00a1da5c7141a2b99b22.jpg,0,0,0,0,1,0
Imgclean_1086_0_jpg.rf.36f3296fabb7cd1d78e302dfd256e4a1.jpg,0,1,0,0,0,0
Physical_Damge_312_jpg.rf.5d9efb9179e954e2af248e3e57682b06.jpg,0,0,0,0,1,0
IMG_20241003_090332_713_jpg.rf.6619e5adf27c2c02a85aa71466edd751.jpg,0,1,0,0,0,0
IMG_20241003_090238_263_jpg.rf.a5a7a63440f086643f5f2e0384a680d3.jpg,0,1,0,0,0,0
IMG_20241003_090221_914_jpg.rf.af13d0a2adb3d987fc92c33833d1db66.jpg,0,1,0,0,0,0
Imgdirty_710_1_jpg.rf.00d1a6018f11180ecbd72cf5610cda10.jpg,0,0,1,0,0,0
Imgclean_1094_0_jpg.rf.fd4141ff32e642acd31b6809dfefb366.jpg,0,1,0,0,0,0
Imgclean_1103_0_jpg.rf.791b7cd3af71cc5ffcd7fe6e8304ea55.jpg,0,1,0,0,0,0
Screenshot-2023-04-02-001311_png.rf.aa947435a8ec723fbf970beb6672434d.jpg,1,0,0,0,1,0
Physical_Damge_58_jpg.rf.fc9dc6c462bcac7b05fa1484d07d4451.jpg,0,0,0,0,1,0
Physical_Damge_558_jpg.rf.624274b9757fcc6242e38327e75e4ccf.jpg,0,0,0,0,1,0
IMG_20241003_090240_796_jpg.rf.fdc1b9aee9d45c2d479b97455acdd72c.jpg,0,1,0,0,0,0
Dust-159-_jpg.rf.89129c3e9f002322b0aa467238583e30.jpg,0,0,1,0,0,0
Imgclean_1091_0_jpg.rf.c8093c98d851a467ae83127fbf921662.jpg,0,1,0,0,0,0
IMG_20241003_090215_364_jpg.rf.02b587b21d9610c2684065fcd34e6a1b.jpg,0,1,0,0,0,0
Imgdirty_728_1_jpg.rf.629edd5b713557ef45e1c24364d2d263.jpg,0,0,1,0,0,0
Electrical-14-_jpg.rf.17a6fcd858cb6d4a8b3198d5b69b1718.jpg,0,0,0,1,0,0
Imgdirty_723_1_jpg.rf.c02d83431ca1b7a75bb2a62d851145a6.jpg,1,0,1,0,0,0
Imgdirty_152_1_jpg.rf.6692d62eb70175317f8f2f122df06312.jpg,0,0,1,0,0,0
Imgdirty_696_1_jpg.rf.d3bc58ac54ba2684173c2ec672512194.jpg,0,0,1,0,0,0
Electrical_Damge_111_jpg.rf.5424189f49d717562afef1202bf7ce08.jpg,0,0,0,1,0,0
Bird_drop_75_jpg.rf.1ca59fdf948f8dd896e9c319b542ef06.jpg,1,0,0,0,0,0
Physical_Damge_542_jpg.rf.d7b9d460db92a2f3819591898b4d989f.jpg,0,0,0,0,1,0
IMG_20241003_090246_446_jpg.rf.7028c6a75326014a5e97057160b75472.jpg,0,1,0,0,0,0
Imgdirty_167_1_jpg.rf.ecb91b70fa30d920c41b7fe3d4bdad51.jpg,0,0,1,0,0,0
Physical_Damge_537_jpg.rf.ba458f3effc8a5a0b7f6734b8d615e03.jpg,0,0,0,0,1,0
Imgclean_1098_0_jpg.rf.32da225563936856173d8d550407f1cf.jpg,0,1,0,0,0,0
IMG_20241003_090313_700_jpg.rf.f53d6d84cecb7e4c21b54b17e3009a9a.jpg,0,1,0,0,0,0
IMG_20241003_090327_593_jpg.rf.02a062cab7d8ed7c9cdbac6a0d9c8ecb.jpg,0,1,0,0,0,0
IMG_20241003_090227_779_jpg.rf.a4e51e36033b242ebe1be8cb66232875.jpg,0,1,0,0,0,0
Screenshot-2023-04-02-001523_png.rf.b193005e4cd97936389480cede2f2e32.jpg,1,0,0,0,0,0
Imgdirty_692_1_jpg.rf.a935cd091a31deef1c4280230cf30c4b.jpg,1,0,1,0,0,0
Physical_Damge_377_jpg.rf.61ef3bf65efd025bd85174d7a29aa415.jpg,0,0,0,0,1,0
IMG_20241003_090224_873_jpg.rf.e3de8df5cc68b0050853fef7edeacf42.jpg,0,1,0,0,0,0
Dust-167-_jpg.rf.9be3602d8e246c64e16841c2edae457e.jpg,0,0,1,0,0,0
Imgclean_1088_0_jpg.rf.b0883aeb7b24ea99210307563df1700d.jpg,0,1,0,0,0,0
Electrical_Damge_109_jpg.rf.94cb5d73904869a57567d47866e4eb4a.jpg,0,0,0,1,0,0
IMG_20241003_090300_273_jpg.rf.65c27dd53459e71f898558a8518bd8df.jpg,0,1,0,0,0,0
solar_Wed_Jun_14_7__28__33_2017_L_0-106214879208_I_0-163301960784_jpg.rf.f1999a80998988e7f54bd62a11e719ee.jpg,1,0,1,0,0,0
IMG_20241003_090336_001_jpg.rf.d6f906930d00a7ac71e84db77f634def.jpg,0,1,0,0,0,0
IMG_20241003_090324_553_jpg.rf.c4ab35afd3a06b463a4b89b29ad5de1e.jpg,0,1,0,0,0,0
Imgclean_1097_0_jpg.rf.5835b5531414caa245bbbccaf60041bf.jpg,0,1,0,0,0,0
Imgdirty_716_1_jpg.rf.5826d8de93ad381f134913ae990b3be0.jpg,0,0,1,0,0,0
Imgdirty_721_1_jpg.rf.ba36d194f44d5bed993d79f79a41d80b.jpg,1,0,0,0,0,0
Physical_Damge_317_jpg.rf.ef5e9b7674100237ec7309a04ff5c48f.jpg,0,0,0,0,1,0
IMG_20241003_090204_462_jpg.rf.52b7bf84cb799c57e4c47e5e8cd28748.jpg,0,1,0,0,0,0
IMG_20241003_090252_094_jpg.rf.24a18a3592c561fbf7c52ab2b4d196f5.jpg,0,1,0,0,0,0
IMG_20241003_090247_560_jpg.rf.e2e4a09cdc0d981f2531299db3b67645.jpg,0,1,0,0,0,0
Physical_Damge_53_jpg.rf.e2b841d9f53b1cf5e4a4b767b5122ca3.jpg,0,0,0,0,1,0
Electrical_Damge_103_jpg.rf.98f05e586f2f282f06eaa5680cb1dfc8.jpg,0,0,0,1,0,0
