image,num_boxes,avg_conf,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,Bird-drop,Clean,Dusty,Electrical-damage,Physical-damage,Snow
01031_Image_2-1200x803-2-_jpg.rf.9119d66a41caa0f4e931ef3e2450bd04.jpg,2,0.607938289642334,0,0,2,0,0,0,0,0,1,0,0,0
1677073267914_jpg.rf.d5a0aee66aa5d40e8449be5d4ac919df.jpg,1,0.5793364644050598,1,0,0,0,0,0,1,0,0,0,0,0
1677073267933_jpg.rf.3a8ffaed27f3344018a82ba069d286e7.jpg,3,0.486238956451416,1,0,1,0,1,0,1,0,0,0,0,0
Bird-193-_jpg.rf.7e8df124bebb8d72c9d5d1622387390e.jpg,1,0.403637558221817,0,0,1,0,0,0,0,0,0,0,0,0
Bird_drop_101_jpg.rf.de527d210721adea800248995289f3c1.jpg,8,0.4096057415008545,8,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_102_jpg.rf.15abe09b8e95f39d26c402dbc27f1915.jpg,7,0.42855122685432434,7,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_103_jpg.rf.1c5d453608b262ed4b7bbb6d91452688.jpg,11,0.6749951243400574,11,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_103_jpg.rf.3e71e25a72bd7544509a4b0823f8ea34.jpg,11,0.6749951243400574,11,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_103_jpg.rf.ab5ef70c8fa974be2072c36ae4c44f4e.jpg,12,0.6365190148353577,12,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_103_jpg.rf.f08d5c0b0b90f6aa7d2cc5fd973ed995.jpg,12,0.6639052629470825,12,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_104_jpg.rf.2ccddea93cc8f440b4631f145363b1a4.jpg,12,0.6662113070487976,12,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_104_jpg.rf.ac3aac619ca06805a054b5196e0cae62.jpg,12,0.6662113070487976,12,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_12_jpg.rf.6502d48b5f16a03d5aed9f8cb79b441b.jpg,31,0.4315105974674225,17,0,14,0,0,0,1,0,1,0,0,0
Bird_drop_12_jpg.rf.c73ba3e8ade1eeb50d58eaead5a159a7.jpg,39,0.41700926423072815,23,0,16,0,0,0,1,0,1,0,0,0
Bird_drop_16_jpg.rf.562e722ea99494a6d2c54532bc5306a8.jpg,4,0.39001399278640747,4,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_16_jpg.rf.78935808166bf7a81a5f5e7a00705b71.jpg,4,0.39001399278640747,4,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_18_jpg.rf.37989c68920eb5cc0f231c5d837c3baf.jpg,6,0.39542242884635925,6,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_1_jpg.rf.8ecef643628f75c6d389e3c457e797d9.jpg,7,0.37399569153785706,2,0,5,0,0,0,0,0,1,0,0,0
Bird_drop_1_jpg.rf.e22822af9045e07c76c8f530031e18fe.jpg,6,0.3921660780906677,2,0,4,0,0,0,1,0,0,0,0,0
Bird_drop_22_jpg.rf.88710cf496e423a9bdf050eaf169abc5.jpg,11,0.43487679958343506,11,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_23_jpg.rf.52c8b113a9a709f144927da55eb55a4d.jpg,8,0.3814050853252411,8,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_23_jpg.rf.cfe3e1dc35c69f2503768bb47f01f672.jpg,8,0.3814050853252411,8,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_24_jpg.rf.ad1e9b515eec2315122a694a4f016094.jpg,10,0.40796229243278503,10,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_24_jpg.rf.f68b7a82ca8524c94896cb94fcadb5e0.jpg,10,0.40796229243278503,10,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_25_jpg.rf.e505c68507067bd2050c6702d4c01d33.jpg,1,0.5079408288002014,1,0,0,0,0,0,0,0,0,0,0,0
Bird_drop_27_jpg.rf.56480d79b0d859c1bb082614ec7ddf1e.jpg,10,0.4261513650417328,10,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_27_jpg.rf.e950aa4bdd9f970749379ff67e332e60.jpg,10,0.4261513650417328,10,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_29_jpg.rf.5be4a6b9c28dda4782f516dce06500e9.jpg,1,0.3798884451389313,1,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_29_jpg.rf.5f7ce65733bf3009b2881645743203b7.jpg,2,0.4102742373943329,2,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_29_jpg.rf.a43b940ac273260860fec5b5d198b4a0.jpg,1,0.3798884451389313,1,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_29_jpg.rf.a8642af40b927654c8f66e6b70255c1b.jpg,1,0.2799624800682068,1,0,0,0,0,0,1,0,0,0,0,0
Bird_drop_29_jpg.rf.cd8e35ac2224d59e6785d902af8b95b2.jpg,1,0.2799624800682068,1,0,0,0,0,0,1,0,0,0,0,0
